BMI,PhysicalActivity5OrMoreDays,WhatIsYourSex
17.998866213151928,1.0,2.0
25.7701047847494,8.0,2.0
25.465078085341453,8.0,2.0
34.0669387755102,8.0,2.0
18.223743775464012,4.0,2.0
21.325987144168966,1.0,1.0
21.975341641885795,4.0,1.0
21.474561292766065,6.0,2.0
18.833910034602077,3.0,2.0
32.20061728395061,6.0,2.0
18.186374419459387,3.0,2.0
17.96627433227705,4.0,2.0
22.907461179144047,5.0,2.0
22.907461179144047,2.0,2.0
28.252595155709347,4.0,2.0
20.903295038505238,4.0,2.0
24.76644363085469,2.0,2.0
18.328741965105603,1.0,1.0
25.919999999999998,2.0,1.0
27.21777777777778,3.0,1.0
